method,question_id,run_id,filename,voting_method,predicted_answer,ground_truth,is_correct,num_votes,avg_confidence
simple,15,0,deepconf_simple_qid15_rid0_20251011_145958.pkl,majority,6300,6300,True,512,0.0
simple,15,0,deepconf_simple_qid15_rid0_20251011_145958.pkl,mean_confidence_weighted,6300,6300,True,512,9.636188412021653
simple,15,0,deepconf_simple_qid15_rid0_20251011_145958.pkl,tail_confidence_weighted,6300,6300,True,512,9.12942813014984
simple,15,0,deepconf_simple_qid15_rid0_20251011_145958.pkl,bottom_window_weighted,6300,6300,True,512,8.399270703230277
simple,15,0,deepconf_simple_qid15_rid0_20251011_145958.pkl,min_window_weighted,6300,6300,True,512,8.12744893074036
simple,15,0,deepconf_simple_qid15_rid0_20251011_145958.pkl,top10_tail_filtered,6300,6300,True,52,10.31679638671875
simple,15,0,deepconf_simple_qid15_rid0_20251011_145958.pkl,top10_bottom_window_filtered,6300,6300,True,52,9.328004244336698
simple,2,0,deepconf_simple_qid2_rid0_20251010_223630.pkl,majority,\dfrac{1}{576},\frac{1}{576},True,512,0.0
simple,2,0,deepconf_simple_qid2_rid0_20251010_223630.pkl,mean_confidence_weighted,\dfrac{1}{576},\frac{1}{576},True,512,11.473810426434227
simple,2,0,deepconf_simple_qid2_rid0_20251010_223630.pkl,tail_confidence_weighted,\dfrac{1}{576},\frac{1}{576},True,512,10.155093507766724
simple,2,0,deepconf_simple_qid2_rid0_20251010_223630.pkl,bottom_window_weighted,\dfrac{1}{576},\frac{1}{576},True,512,9.497742527568663
simple,2,0,deepconf_simple_qid2_rid0_20251010_223630.pkl,min_window_weighted,\dfrac{1}{576},\frac{1}{576},True,512,9.170297092437748
simple,2,0,deepconf_simple_qid2_rid0_20251010_223630.pkl,top10_tail_filtered,\dfrac{1}{576},\frac{1}{576},True,52,11.869619478665866
simple,2,0,deepconf_simple_qid2_rid0_20251010_223630.pkl,top10_bottom_window_filtered,\dfrac{1}{576},\frac{1}{576},True,52,11.004458459030884
simple,9,0,deepconf_simple_qid9_rid0_20251011_075702.pkl,majority,"\dfrac{ -1 + \sqrt{17} }{2},\ \dfrac{ -1 - \sqrt{17} }{2}","\frac{-1+\sqrt{17}}{2}, \frac{-1-\sqrt{17}}{2}",False,512,0.0
